Utterance,Emotion,label
Oh come on! Morning’s here!  Morning’s here! The morning is here! Sunshine is here!,joy,1
Are you kidding? I love that guy!  Morning’s here! Morning is here—,joy,1
I’m sorry. I’m so sorry.,sadness,0
"Great, let’s begin.  How’s the pressure?",joy,1
Nice! Wow Phoebe you are good!,joy,1
"Stating the obvious, but thank you. And it’s not weird is it.",joy,1
No. Ooohh,joy,1
Oh. Oh yeah! Ohhhhh! Ohh! Oh yeah!,joy,1
Oh God Phoebe!!  Oh that’s it! That’s it! Right there! Oh!  Ooooh-oooh-ooooh,joy,1
Become a drama critic!,joy,1
I am hurt!  A plague on both your houses!,sadness,0
"By the way, he dumped me tonight after he read my review.",sadness,0
"By the way, he dumped me tonight after he read my review.",sadness,0
"Yep! I sure know how to pick ‘em, huh? Y'know I gave up a part on a soap for this!",sadness,0
Hi Joey! What are you doing here?,joy,1
"Sure, no problem.  Ooh—Hey, donuts!",joy,1
"Sorry, Pheebs.",sadness,0
"Sorry, Pheebs.",sadness,0
"Yeah. Well, umm.....",sadness,0
"Yeah, I’m fine.",sadness,0
"No! Really, no, please, please, that’s, that’s okay.",sadness,0
"Oh, yeah, I’m not, I’m not hungry.",sadness,0
"Wow, that feels so good to get off my chest!",joy,1
Well. Sounds like you're writing yourself a little play there Rach. Wow! Let me know how that one turns out.,joy,1
All right everybody! Everybody guess what? I just convinced Paul to give us a test next week!,joy,1
All right everybody! Everybody guess what? I just convinced Paul to give us a test next week!,joy,1
Come on! Tests make us all better learners! Oh yeah!  We should have essay questions!!,joy,1
"Hi, Julie!",joy,1
Oh shoot! I work Monday nights.,sadness,0
Oh shoot! I work Monday nights.,sadness,0
"Umm, this stuffing is amazing. Do you think we should bring them some?",joy,1
"Umm, this stuffing is amazing. Do you think we should bring them some?",joy,1
"Yeah, for you!",joy,1
What kinda stuff?,joy,1
"It’s just y'know, been a couple of hours, and she hasn’t called. Not that I even care, y'know.",sadness,0
I can’t.,sadness,0
I can’t.,sadness,0
"She dumped me, I mean I totally trusted her and then one day it was ‘Okay, bye Pheebs’ gone.",sadness,0
"Y'know what the saddest part is, when we were playing together, that was like the most fun I’ve ever had in like all my lives.",sadness,0
"It's just you and Rachel, just the two of you? This is a date. You're going on a date.",joy,1
Yuh-huh.,joy,1
"Well, let me ask you something, was Kip a better roommate than me?",sadness,0
"Aw, don't do that",sadness,0
"Ooh, oh no! I have to go! I have a massage appointment.",sadness,0
Absolutely.  I love the way you kiss.,joy,1
Y’know this is actually not a great time for me.,sadness,0
"Okay! So, we’ll just stay married.",joy,1
"Yes, exactly!",joy,1
And I will make everyone call me Mrs. Geller!,joy,1
"Wow! This is so amazing. I uh, I really thought I’d have to talk you into this more.",joy,1
I mean you fill some form out once and a while and instead of checking the box that says Ms you check the box that says Mrs.!,joy,1
"Ohh, okay, I’m sorry.",sadness,0
"I know, I know, I'm such an idiot.",joy,1
"Barry, I'm sorry...",sadness,0
I am so sorry...,sadness,0
"I know you probably think that this is all about what I said the other day about you making love with your socks on, but it isn't... it isn't, it's about me, and I ju-  Hi, machine cut me off again... anyway...",sadness,0
"Really, I, no, I think girls night out is a great idea.",joy,1
"I don’t know, something girlie.",joy,1
Ohhh! That is soo sweet!,joy,1
"Okay, okay look, I know I'm being Mr. Inappropriate today, but it's just so tough, I mean see you walking around and I just wanna touch you and hold you, come on no one's around, just, just kiss me.",joy,1
"Okay, okay look, I know I'm being Mr. Inappropriate today, but it's just so tough, I mean see you walking around and I just wanna touch you and hold you, come on no one's around, just, just kiss me.",joy,1
Hey it’s Mona! From the wedding.,joy,1
Oh hi!,joy,1
Hi!,joy,1
"Oh that’s right. Well uh, would you be interested in seeing a Ukrainian film?",joy,1
Great! Well umm,joy,1
"Look, I feel really bad about how I freaked you out before, so I called the father and asked him to meet you here so you can tell him.",sadness,0
Oh Phoebe!,joy,1
"Look, I feel really bad about how I freaked you out before, so I called the father and asked him to meet you here so you can tell him.",sadness,0
"Hey, thank you so much for these tickets, Chandler.",joy,1
"Oh well, this was a really important experience for me, and    I wanted to share it with you.",joy,1
"Oh well, this was a really important experience for me, and    I wanted to share it with you.",joy,1
"Oh, you're so wonderful.",joy,1
We’re not peeking?,sadness,0
Chandler is fantastic!!,joy,1
Y’know how people just click?,joy,1
"Like he came by to pick me up, and I opened the door, and it was just like, click!",joy,1
"Oh, and he’s got such a good heart! Doesn’t he have a good heart?",joy,1
"Oh, I know...",joy,1
"Oh, I know and he’s soo sweet! Listen, he said he was going to call, so put him straight through.",joy,1
Y’know how people just click?,joy,1
"Like he came by to pick me up, and I opened the door, and it was just like, click!",joy,1
"Oh, and he’s got such a good heart! Doesn’t he have a good heart?",joy,1
"Oh, I know and he’s soo sweet! Listen, he said he was going to call, so put him straight through.",joy,1
Isn’t this great?!,joy,1
"Hi, sweetie!",joy,1
I?ve got some bad news.,sadness,0
"Come on sweetie! You?ve had to work late every night for the past two weeks, what is it this time?",sadness,0
"But work comes first!  Oh hey, but that?s sad about you though, what happened? Burn out? Burn all out, did ya?",joy,1
"Oh well that?s great, so I guess this is ah, this is good bye then. Huh?  Good bye.",joy,1
Well we?re gonna miss you around here.,sadness,0
"Come on sweetie! You?ve had to work late every night for the past two weeks, what is it this time?",sadness,0
"But work comes first!  Oh hey, but that?s sad about you though, what happened? Burn out? Burn all out, did ya?",joy,1
"Oh well that?s great, so I guess this is ah, this is good bye then. Huh?  Good bye.",joy,1
"Yeah, me too.",sadness,0
Well we?re gonna miss you around here.,sadness,0
"Yeah, me too.",sadness,0
"Seriously dude, 3 years ago.",joy,1
Oh.,sadness,0
"Yeah, maybe...",joy,1
"Okay... okay, maybe I will...",joy,1
"Well, you’re amazing.",joy,1
"Oh, you are the best friends anyone has ever had.",joy,1
"Oh-no-no-no, you are!",joy,1
"You do this, you give me the great advice, and hey listen, I was thinking about what you said yesterday about focusing on one woman, I’m gonna do that.",joy,1
I think somebody’s got a little crush on Casey.,joy,1
How ‘bout I fix you two up?,joy,1
What do you think?,joy,1
That all the pieces of my life are falling right into place!,joy,1
"‘Cause every time I see your face, I can’t help but fall from grace. I know.....",joy,1
Say you'll stay beside me,sadness,0
Say you'll stay beside me,sadness,0
Come on!,joy,1
"Oh wait, don’t you have to pay for your,  Busty Ladies?",joy,1
I’m such a jerk.,sadness,0
Hmmm... this is so nice.,joy,1
It's brilliant!,joy,1
"Goodbye Mike, we'll see you at the wedding, fella!",joy,1
"Well, you're welcome! Glad I could help.",joy,1
"Okay, you have 19 questions left. Use them wisely.  Come on Joey! You can’t win if you don’t ask any",joy,1
"Well, you promised me a fun road trip!",joy,1
"Well, you promised me a fun road trip!",joy,1
Morning!,joy,1
Everything was delicious!,joy,1
Thank you!,joy,1
Thank you!,joy,1
It was. The duck in particular was superb.,joy,1
Thank you!    You haven't said anything...,joy,1
Thank you!    You haven't said anything...,joy,1
The musician right outside the restaurant...it's kind    of a mood-killer!,sadness,0
You owe me 20 bucks.,joy,1
You owe me 20 bucks.,joy,1
Thank you. Thank you so much!,joy,1
"I have--and I remember this part vividly--a mouthful of pumpkin pie, and this is the moment my parents choose to tell me they're getting divorced.",sadness,0
Yes. It's very difficult to appreciate a Thanksgiving dinner once you've seen it in reverse.,sadness,0
"Oh, I hate this story.",sadness,0
"I have--and I remember this part vividly--a mouthful of pumpkin pie, and this is the moment my parents choose to tell me they're getting divorced.",sadness,0
"Ooh, look-look-look-look-look! I got Monica naked!",joy,1
"So, what’s this about?",joy,1
What’s going on Rach?,joy,1
"Y’know, I’m actually glad Phoebe called.",joy,1
"I know we broke up because you thought I wasn’t mature enough, but I’ve really grown up and think we should get back together.",joy,1
What’s going on Rach?,joy,1
"Y’know, I’m actually glad Phoebe called.",joy,1
"I know we broke up because you thought I wasn’t mature enough, but I’ve really grown up and think we should get back together.",joy,1
"Oh, it’s just not the right time.",sadness,0
It is the right time.,joy,1
‘Kay!,joy,1
"I knew it! I knew it, ahh….",joy,1
Hey!,joy,1
I can’t believe this is taking so long. How are you doing?,sadness,0
Oh not bad. Do you know that feeling when you’re trying to blow a Saint Bernard out your ass?,sadness,0
Oh not bad. Do you know that feeling when you’re trying to blow a Saint Bernard out your ass?,sadness,0
Look how nervous he gets! We haven’t slept together in years!,joy,1
"Not just Janice, Janice in labor, contracting and everything.",joy,1
"Not just Janice, Janice in labor, contracting and everything.",joy,1
I just saw Danny getting on the subway with a girl and he had his arm around her.,sadness,0
"Oh, honey, I'm sorry.",sadness,0
Ta-da.,joy,1
"Ahh, look at you, you look great.",joy,1
"So, wow, this is pretty wonerful, huh.",joy,1
You always said I'd make it.,joy,1
"Um, the matador.  Ole, ha ha ha.",joy,1
"Hi Joey it's Jane Rogers, can't wait    for your party tonight.",joy,1
Hey!,joy,1
Hey!,joy,1
Hey!,joy,1
What's happening?,joy,1
"Yeah, it's a real shame you can't make it to that one-woman    show tonight.",sadness,0
"""Hi Joey, it's Jane Rogers can't wait for your party tonight""",joy,1
"""Hi Joey, it's Jane Rogers can't wait for your party tonight""",joy,1
"We were walking by this antique store, and I saw this pin in the window, and I told him that it was just like one my grandmother had when I was a little girl.",sadness,0
"We were walking by this antique store, and I saw this pin in the window, and I told him that it was just like one my grandmother had when I was a little girl.",sadness,0
I really like waking up with you.,joy,1
"I like waking up with you too.  Oh! It's such a beautiful morning.  Oh, I can stay here all day.",joy,1
That would be great!,joy,1
We could have breakfast in bed,joy,1
"Well that was depressing, I think I just bought a soft pretzel from one of the kids from",sadness,0
Hi!,joy,1
Thanks! You too.,joy,1
Hi!,joy,1
There he is!,joy,1
There he is!,joy,1
He hooked up!! Tell us about her!,joy,1
He hooked up!! Tell us about her!,joy,1
"Yeah, we look great together.",joy,1
"Yeah, we look great together.",joy,1
I’m marrying her.,joy,1
Wow! Imagine what our kids would look like!,joy,1
Wow! Imagine what our kids would look like!,joy,1
He has the most amazing Porsche under there!,joy,1
"Well, the old lady died.",sadness,0
"But I don’t care,  because you got the apartment.",joy,1
Yes!,joy,1
Isn’t that great?,joy,1
"Well, the old lady died.",sadness,0
"But I don’t care,  because you got the apartment.",joy,1
Yes!,joy,1
Isn’t that great?,joy,1
"Wow, that’s great.",joy,1
"Oh, yeah!",joy,1
"That’s okay. All right, I’m gonna play song that’s really, really sad. It’s called Magician Box Mix Up.",joy,1
"Okay, great.",joy,1
Thank you.,joy,1
Thank you.,joy,1
"Okay, great.",joy,1
"Honey, he’s about to go hit on Isabella Rosselini. I’m just sorry we don’t got popcorn.",joy,1
"Oh-oh-oh, yeah!  That's right, you take good care of those babies!",joy,1
"It's me, Joey!",joy,1
Joey!,joy,1
Left!  Thank you.,joy,1
Yeah absolutely!,joy,1
"Rachel, we’re sorry for pushing those guys on you.",sadness,0
Oh that’s all right!,joy,1
"Y’know, I ended up having a really good time.",joy,1
"Y’know, the charity was a big success and they raised a lot of money and awareness.",joy,1
Oh that’s all right!,joy,1
"Y’know, I ended up having a really good time.",joy,1
"Y’know, the charity was a big success and they raised a lot of money and awareness.",joy,1
Oh that’s all right!,joy,1
"Y’know, I ended up having a really good time.",joy,1
"Y’know, the charity was a big success and they raised a lot of money and awareness.",joy,1
Ooooh! Freeze him out.,joy,1
That’s right!,joy,1
I like it!,joy,1
Oh good.,joy,1
"So, I’m sorry I just don’t think we should go away together yet.",sadness,0
You are so adorable.,joy,1
That! Let’s talk about that.,joy,1
Hey!,joy,1
I did it! I took care of the babies all by myself!,joy,1
Hey Ross! The baby’s kicking!,joy,1
It’s not kicking right now. Although we would love to see you do  that again.,joy,1
"Hey, when-when was it kicking? What happened?",joy,1
Last night! I just felt it and I went into Joey’s room and he was sleeping,joy,1
Last night! I just felt it and I went into Joey’s room and he was sleeping,joy,1
"So c'mon, you guys, tell me all the dirt!",joy,1
"I take the uh dead flowers out of the vase... Oh, and, um, sometimes Artelle lets me put the little chocolate blobbies on the cookies.",sadness,0
"I take the uh dead flowers out of the vase... Oh, and, um, sometimes Artelle lets me put the little chocolate blobbies on the cookies.",sadness,0
"See, there you go, the cleansing works!",joy,1
"See, there you go, the cleansing works!",joy,1
"Oh, they're firemen guys.",joy,1
"Oh, and I can also speak a little French. Voulez-vous coucher avec moi ce soir?  Why? What did I say?",joy,1
"Eh, he said, thank you very much, he thinks you look very pretty tonight, your hair, golden like the sun.",joy,1
I’m also thinking about opening up my own restaurant.,joy,1
"Okay, ah, before you get all talky again, umm, could you also please tell Sergei that I really like his suit.",joy,1
